Sn Name,Redshift,Redshift Error,Exposure Time (s),Flux (erg s-1 cm-2 A-1 pi-1 kpc-2),Flux Error (erg s-1 cm-2 A-1 pi-1 kpc-2),Luminosity (erg s-1 A-1 kpc-2),Luminosity Error (erg s-1 A-1 kpc-2),Surface Brightness (erg s-1 A-1 arcsec^-2),Surface Brightness Error (erg s-1 A-1 arcsec^-2),File Path
SN2009do,0.039734,0.0010019816236937805,214.05,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6374539776950796288/AIS_103_sg29-fd-int.fits
SN2009dc,0.021391,0.0010014219681757659,122.05,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6387909894179127296/AIS_483_sg81-fd-int.fits
SN2008af,0.033507,0.0010017540129757527,73.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6383476603166392320/AIS_357_sg25-fd-int.fits
SN2006cz,0.0418,0.0010020656782187606,105.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6382843310238597120/AIS_339_sg49-fd-int.fits
SN2009al,0.022105,0.001001437474078649,108.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6381893360109486080/AIS_312_sg75-fd-int.fits
SN2007nq,0.045031,0.0010022056547560607,102.1,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6380345199419195392/AIS_268_sg30-fd-int.fits
SN2008gl,0.034017,0.0010017712012994906,106.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6380274815642632192/AIS_266_sg16-fd-int.fits
SN2008gl,0.034017,0.0010017712012994906,108.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6380274808126439424/AIS_266_sg09-fd-int.fits
SN2005bl,0.02406,0.0010014825345776254,105.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6378867516994748416/AIS_226_sg87-fd-int.fits
SNF20080522-000,0.04526,0.0010022159702698938,96.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6378691553258373120/AIS_221_sg48-fd-int.fits
